Date,Adj Close,Close,High,Low,Open,Volume
2025-07-01,488.1508483886719,492.04998779296875,498.04998779296875,490.9800109863281,496.4700012207031,19945400
2025-07-02,487.198486328125,491.0899963378906,493.5,488.70001220703125,489.989990234375,16319600
2025-07-03,494.8870544433594,498.8399963378906,500.1300048828125,493.44000244140625,493.80999755859375,13984800
2025-07-07,493.77593994140625,497.7200012207031,498.75,495.2300109863281,497.3800048828125,13981600
2025-07-08,492.6846008300781,496.6199951171875,498.20001220703125,494.1099853515625,497.239990234375,11846600
2025-07-09,499.5200500488281,503.510009765625,506.7799987792969,499.739990234375,500.29998779296875,18659500
2025-07-10,497.5061340332031,501.4800109863281,504.44000244140625,497.75,503.04998779296875,16492100
2025-07-11,499.3315734863281,503.32000732421875,505.0299987792969,497.79998779296875,498.4700012207031,16459500
2025-07-14,499.033935546875,503.0199890136719,503.9700012207031,501.0299987792969,501.5199890136719,12058800
2025-07-15,501.811767578125,505.82000732421875,508.29998779296875,502.7900085449219,503.0199890136719,14927200
2025-07-16,501.61334228515625,505.6199951171875,506.7200012207031,501.8900146484375,505.17999267578125,15154400
2025-07-17,507.6451721191406,511.70001220703125,513.3699951171875,505.6199951171875,505.67999267578125,17503100
2025-07-18,506.00823974609375,510.04998779296875,514.6400146484375,507.42999267578125,514.47998046875,21209700
2025-07-21,506.01812744140625,510.05999755859375,512.0900268554688,505.54998779296875,506.7099914550781,14066800
2025-07-22,501.2660827636719,505.2699890136719,511.20001220703125,505.2699890136719,510.9700012207031,13868600
2025-07-23,501.861328125,505.8699951171875,506.7900085449219,500.70001220703125,506.75,16396600
2025-07-24,506.8316345214844,510.8800048828125,513.6699829101562,507.29998779296875,508.7699890136719,16107000
2025-07-25,509.6392517089844,513.7100219726562,518.2899780273438,510.3599853515625,512.469970703125,19125700
2025-07-28,508.43878173828125,512.5,515.0,510.1199951171875,514.0800170898438,14308000
2025-07-29,508.50823974609375,512.5700073242188,517.6199951171875,511.55999755859375,515.530029296875,16469200
2025-07-30,509.17291259765625,513.239990234375,515.9500122070312,509.44000244140625,515.1699829101562,26380400
2025-07-31,529.2723388671875,533.5,555.4500122070312,531.9000244140625,555.22998046875,51617300
2025-08-01,519.956787109375,524.1099853515625,535.7999877929688,520.8599853515625,535.0,28977600
2025-08-04,531.3955078125,535.6400146484375,538.25,528.1300048828125,528.27001953125,25349000
2025-08-05,523.5679931640625,527.75,537.2999877929688,527.239990234375,537.1799926757812,19171600
2025-08-06,520.7802734375,524.9400024414062,531.7000122070312,524.030029296875,530.9000244140625,21355700
2025-08-07,516.7127685546875,520.8400268554688,528.0900268554688,517.5499877929688,526.7999877929688,16079100
2025-08-08,517.9031982421875,522.0399780273438,524.6599731445312,519.4099731445312,522.5999755859375,15531000
2025-08-11,517.6353149414062,521.77001953125,527.5900268554688,519.719970703125,522.2999877929688,20194400
2025-08-12,525.046142578125,529.239990234375,530.97998046875,522.7000122070312,523.75,18667000
2025-08-13,516.454833984375,520.5800170898438,532.7000122070312,519.3699951171875,532.1099853515625,19619200
2025-08-14,518.3397216796875,522.47998046875,525.9500122070312,520.1400146484375,522.5599975585938,20269100
2025-08-15,516.0480346679688,520.1699829101562,526.0999755859375,519.0800170898438,522.77001953125,25213300
2025-08-18,513.0023193359375,517.0999755859375,522.8200073242188,514.02001953125,521.5900268554688,23760600
2025-08-19,505.7304382324219,509.7699890136719,515.1599731445312,508.54998779296875,515.0,21481000
2025-08-20,501.71258544921875,505.7200012207031,511.0,504.44000244140625,509.8699951171875,27723000
2025-08-21,501.06658935546875,504.239990234375,507.6300048828125,502.7200012207031,503.69000244140625,18443300
2025-08-22,504.037841796875,507.2300109863281,510.7300109863281,502.4100036621094,504.25,24324200
2025-08-25,501.0865173339844,504.260009765625,508.19000244140625,504.1199951171875,506.6300048828125,21638600
2025-08-26,498.8804931640625,502.0400085449219,504.9800109863281,498.510009765625,504.3599853515625,30835700
2025-08-27,503.5509033203125,506.739990234375,507.2900085449219,499.8999938964844,502.0,17277900
2025-08-28,506.43267822265625,509.6400146484375,511.0899963378906,505.5,507.0899963378906,18015600
2025-08-29,503.501220703125,506.69000244140625,509.6000061035156,504.489990234375,508.6600036621094,20961600
2025-09-02,501.9410705566406,505.1199951171875,506.0,496.80999755859375,500.4700012207031,18128000
2025-09-03,502.1696472167969,505.3500061035156,507.7900085449219,502.32000732421875,503.7900085449219,16345100
2025-09-04,504.7731628417969,507.9700012207031,508.1499938964844,503.1499938964844,504.29998779296875,15509500
2025-09-05,491.8847961425781,495.0,511.9700012207031,492.3699951171875,509.07000732421875,31994800
2025-09-08,495.06463623046875,498.20001220703125,501.20001220703125,495.0299987792969,498.1099853515625,16771000
2025-09-09,495.2733154296875,498.4100036621094,502.25,497.70001220703125,501.42999267578125,14410500
2025-09-10,497.2209777832031,500.3699951171875,503.2300109863281,496.7200012207031,502.9800109863281,21611800
2025-09-11,497.8569641113281,501.010009765625,503.1700134277344,497.8800048828125,502.25,18881600
2025-09-12,506.6910095214844,509.8999938964844,512.5499877929688,503.8500061035156,506.6499938964844,23624900
2025-09-15,512.1166381835938,515.3599853515625,515.469970703125,507.0,508.7900085449219,17143800
2025-09-16,505.83642578125,509.0400085449219,517.22998046875,508.6000061035156,516.8800048828125,19711900
2025-09-17,506.81024169921875,510.0199890136719,511.2900085449219,505.92999267578125,510.6199951171875,15816600
2025-09-18,505.2501525878906,508.45001220703125,513.0700073242188,507.6600036621094,511.489990234375,18913700
2025-09-19,514.6704711914062,517.9299926757812,519.2999877929688,510.30999755859375,510.55999755859375,52474100
2025-09-22,511.21240234375,514.4500122070312,517.739990234375,512.5399780273438,515.5900268554688,20009300
2025-09-23,506.0252685546875,509.2300109863281,514.5900268554688,507.30999755859375,513.7999877929688,19799600
2025-09-24,506.9394226074219,510.1499938964844,512.47998046875,506.9200134277344,510.3800048828125,13533700
2025-09-25,503.8390808105469,507.0299987792969,510.010009765625,505.0400085449219,508.29998779296875,15786500
2025-09-26,508.24114990234375,511.4599914550781,513.9400024414062,506.6199951171875,510.05999755859375,16213100
2025-09-29,511.36138916015625,514.5999755859375,516.8499755859375,508.8800048828125,511.5,17617800
2025-09-30,514.6903686523438,517.9500122070312,518.1599731445312,509.6600036621094,513.239990234375,19728200
2025-10-01,516.4392700195312,519.7100219726562,520.510009765625,511.69000244140625,514.7999877929688,22632300
2025-10-02,512.4942016601562,515.739990234375,521.5999755859375,510.67999267578125,517.6400146484375,21222900
2025-10-03,514.0940551757812,517.3499755859375,520.489990234375,515.0,517.0999755859375,15112300
2025-10-06,525.2435302734375,528.5700073242188,531.030029296875,518.2000122070312,518.6099853515625,21388600
2025-10-07,520.682373046875,523.97998046875,529.7999877929688,521.4400024414062,528.2899780273438,14615200
2025-10-08,521.546875,524.8499755859375,526.9500122070312,523.0900268554688,523.280029296875,13363400
2025-10-09,519.1123657226562,522.4000244140625,524.3300170898438,517.4000244140625,522.3400268554688,18343600
2025-10-10,507.74432373046875,510.9599914550781,523.5800170898438,509.6300048828125,519.6400146484375,24133800
2025-10-13,510.8149108886719,514.0499877929688,516.4099731445312,511.67999267578125,516.4099731445312,14284200
2025-10-14,510.3378601074219,513.5700073242188,515.280029296875,506.0,510.2300109863281,14684300
2025-10-15,510.19879150390625,513.4299926757812,517.1900024414062,510.0,514.9600219726562,14694700
2025-10-16,508.3902282714844,511.6099853515625,516.8499755859375,508.1300048828125,512.5800170898438,15559600
2025-10-17,510.3478698730469,513.5800170898438,515.47998046875,507.30999755859375,509.0400085449219,19867800
2025-10-20,513.53759765625,516.7899780273438,518.7000122070312,513.4299926757812,514.6099853515625,14665600
2025-10-21,514.4021606445312,517.6599731445312,518.6900024414062,513.0399780273438,517.5,15586200
2025-10-22,517.2639770507812,520.5399780273438,525.22998046875,517.7100219726562,521.1500244140625,18962700
2025-10-23,517.283935546875,520.5599975585938,523.9500122070312,518.6099853515625,522.4600219726562,14023500
2025-10-24,520.314697265625,523.6099853515625,525.3499755859375,520.7100219726562,522.7899780273438,15532400
